score,percentage
8.367695016,79.70
8.367695016,79.70
8.365121736,79.60
8.331634536,79.50
8.300495976,79.40
8.289774216,79.40
8.280225576,79.20
8.280225576,79.20
8.277680136,79.00
8.277680136,79.00
8.277680136,79.00
8.266958376,78.50
8.266958376,78.50
8.266958376,78.50
8.266958376,78.50
8.266958376,78.50
8.266958376,78.50
8.266958376,78.50
8.264736936,78.40
8.264736936,78.40
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.253691176,77.20
8.251469576,77.10
8.249176148,77.10
8.244165096,77.00
8.238202376,76.90
8.230897896,76.80
8.230897896,76.80
8.225561268,76.70
8.191771816,76.50
8.191771816,76.50
8.160633256,75.90
8.160633256,75.90
8.160633256,75.90
8.160633256,75.90
8.160633256,75.90
8.160633256,75.90
8.160633256,75.90
8.160633256,75.90
8.160633256,75.90
8.160207976,75.80
8.147366056,75.30
8.147366056,75.30
8.147366056,75.30
8.147366056,75.30
8.147366056,75.30
8.147366056,75.30
8.147366056,75.30
8.147259496,75.20
8.144971188,75.20
8.137817416,74.90
8.137817416,74.90
8.137817416,74.90
8.137817416,74.90
8.124824628,74.70
8.124824628,74.70
8.123751176,74.70
8.115276148,74.60
8.114202536,74.50
8.113850856,74.20
8.113850856,74.20
8.113850856,74.20
8.113850856,74.20
8.100935336,74.20
8.096420308,74.10
8.062674536,74.00
8.047003496,73.90
8.043161096,73.80
8.043161096,73.80
8.036281736,73.60
8.036281736,73.60
8.024210376,73.60
8.023014536,72.90
8.023014536,72.90
8.023014536,72.90
8.023014536,72.90
8.023014536,72.90
8.023014536,72.90
8.023014536,72.90
8.023014536,72.90
8.023014536,72.90
8.013466056,72.80
8.007525736,72.60
8.007525736,72.60
8.007525736,72.60
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
8.000198696,71.50
7.984710056,71.30
7.984710056,71.30
7.975183976,71.30
7.959108936,71.20
7.955897256,71.10
7.945841736,71.00
7.945841736,71.00
7.934841256,70.90
7.929531336,70.80
7.922652136,70.70
7.916689416,70.70
7.906715656,70.50
7.906715656,70.50
7.906715656,70.50
7.893873576,70.00
7.893873576,70.00
7.893873576,70.00
7.893873576,70.00
7.893873576,70.00
7.893873576,70.00
7.893873576,70.00
7.893448296,69.80
7.893448296,69.80
7.878659188,69.70
7.878211508,69.40
7.878211508,69.40
7.878211508,69.40
7.878211508,69.40
7.871080296,69.40
7.870258696,69.30
7.860358536,69.10
7.860358536,69.10
7.860358536,69.10
7.856991496,69.00
7.847443016,68.90
7.847091336,68.90
7.831602536,68.80
7.828794856,68.50
7.828794856,68.50
7.828794856,68.50
7.828794856,68.50
7.792337896,68.40
7.780243976,68.40
7.776401416,68.10
7.776401416,68.10
7.776401416,68.10
7.776401416,68.10
7.769522056,67.40
7.769522056,67.40
7.769522056,67.40
7.769522056,67.40
7.769522056,67.40
7.769522056,67.40
7.769522056,67.40
7.769522056,67.40
7.769522056,67.40
7.765007028,67.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.756254856,66.30
7.753608136,66.30
7.746728776,66.20
7.746706376,66.00
7.746706376,66.00
7.740766056,65.90
7.740766056,65.90
7.733461576,65.80
7.694335496,65.70
7.679082056,65.70
7.676039016,65.60
7.649929736,65.50
7.640381256,65.50
