score,percentage
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87948,0.778
11.87022,0.778
11.86877,0.776
11.86877,0.776
11.86877,0.776
11.85384,0.775
11.85384,0.775
11.83549,0.775
11.82737,0.774
11.82737,0.774
11.82475,0.773
11.80982,0.772
11.80982,0.772
11.78637,0.771
11.78637,0.771
11.78335,0.77
11.78335,0.77
11.78335,0.77
11.76842,0.767
11.76842,0.767
11.76842,0.767
11.76842,0.767
11.76842,0.767
11.76657,0.765
11.76657,0.765
11.76657,0.765
11.76657,0.765
11.76657,0.765
11.75728,0.764
11.75164,0.762
11.75164,0.762
11.75164,0.762
11.75164,0.762
11.75164,0.762
11.74278,0.761
11.74235,0.759
11.74235,0.759
11.74235,0.759
11.74235,0.759
11.74235,0.759
11.7409,0.758
11.7371,0.757
11.7371,0.757
11.73214,0.757
11.72742,0.755
11.72742,0.755
11.72255,0.755
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.72217,0.748
11.71526,0.747
11.70762,0.744
11.70762,0.744
11.70762,0.744
11.70762,0.744
11.70762,0.744
11.70762,0.744
11.69691,0.743
11.69691,0.743
11.6957,0.742
11.6957,0.742
11.6957,0.742
11.65942,0.74
11.65942,0.74
11.65942,0.74
11.65551,0.74
11.6547,0.739
11.64705,0.739
11.6349,0.737
11.6349,0.737
11.6349,0.737
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61997,0.725
11.61451,0.725
11.60926,0.724
11.60923,0.722
11.60923,0.722
11.60923,0.722
11.60923,0.722
11.60923,0.722
11.60047,0.72
11.60047,0.72
11.60047,0.72
11.60047,0.72
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.5943,0.707
11.59225,0.706
11.57011,0.704
11.57011,0.704
11.57011,0.704
11.57011,0.704
11.56866,0.703
11.56866,0.703
11.56486,0.703
11.54219,0.701
11.54219,0.701
11.53538,0.701
11.51612,0.7
11.50891,0.7
11.50119,0.698
11.50119,0.698
11.50119,0.698
11.50119,0.698
11.49213,0.697
11.48324,0.696
11.48324,0.696
11.48284,0.696
11.48139,0.695
11.47263,0.695
11.46791,0.693
11.46791,0.693
11.46791,0.693
11.46791,0.693
11.46646,0.692
11.46646,0.692
11.46266,0.689
11.46266,0.689
11.46266,0.689
11.46266,0.689
11.46266,0.689
11.45717,0.689
11.44811,0.688
11.44224,0.686
11.44224,0.686
11.44224,0.686
11.44224,0.686
11.44224,0.686
11.43699,0.682
11.43699,0.682
11.43699,0.682
11.43699,0.682
11.43699,0.682
11.43699,0.682
11.43699,0.682
11.43699,0.682
11.43318,0.681
11.42244,0.68
11.42244,0.68
11.42206,0.677
11.42206,0.677
11.42206,0.677
11.42206,0.677
11.42206,0.677
11.42206,0.677
11.41826,0.677
11.41052,0.676
11.41052,0.676
11.39942,0.675
11.39559,0.671
11.39559,0.671
11.39559,0.671
11.39559,0.671
11.39559,0.671
11.39559,0.671
11.39559,0.671
11.37424,0.671
11.36995,0.67
11.36952,0.668
11.36952,0.668
11.36952,0.668
11.36952,0.668
11.36046,0.666
11.36046,0.666
11.36046,0.666
11.36046,0.666
11.35931,0.664
11.35931,0.664
11.35931,0.664
11.35931,0.664
11.35931,0.664
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.35459,0.658
11.34972,0.657
11.34972,0.657
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.33479,0.647
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31986,0.634
11.31529,0.634
11.3144,0.633
11.30915,0.633
11.30912,0.631
11.30912,0.631
11.30912,0.631
11.30912,0.631
11.30036,0.63
11.30036,0.63
11.29422,0.629
11.28268,0.628
11.28268,0.628
11.26775,0.627
11.26775,0.627
11.26513,0.627
11.26475,0.626
11.2502,0.626
11.2494,0.625
11.24208,0.625
11.23828,0.624
11.22764,0.621
11.22764,0.621
11.22764,0.621
11.22764,0.621
11.22764,0.621
11.22764,0.621
11.22373,0.62
11.22373,0.62
11.19806,0.619
11.19202,0.619
11.18745,0.618
11.18273,0.618
11.18128,0.617
11.18128,0.617
11.1678,0.616
11.16255,0.613
11.16255,0.613
11.16255,0.613
11.16255,0.613
11.16255,0.613
11.16255,0.613
11.16047,0.612
11.16047,0.612
11.15181,0.612
11.13688,0.61
